user_id,request_id,context_length,total_context_at_start,start_time,end_time,duration,ttft,tokens_per_second,error,prompt_preview
0,0,16,16,1757337144.630712,1757337145.2688184,0.6381063461303711,0.0415043830871582,95.54108690700268,,"שלום, איך אתה?"
1,0,16,92,1757337149.6265888,1757337150.228328,0.6017391681671143,0.020508289337158203,106.6701757566783,,"שלום, איך אתה?"
2,0,16,191,1757337154.6258833,1757337155.2314074,0.6055240631103516,0.024410724639892578,92.92507403483926,,"שלום, איך אתה?"
3,0,16,282,1757337159.6256409,1757337160.4279113,0.8022704124450684,0.028735637664794922,81.44430225246884,,"שלום, איך אתה?"
0,1,94,175,1757337150.2703216,1757337164.7087362,14.438414573669434,0.02201223373413086,88.6490242062525,,תוכל לספר לי על ההיסטוריה של ישראל?
4,0,16,382,1757337164.6263816,1757337165.3030105,0.676628828048706,0.03158426284790039,83.71514607396084,,"שלום, איך אתה?"
1,1,99,209,1757337155.2304258,1757337170.1283607,14.897934913635254,0.029746532440185547,82.72695828603267,,תוכל לספר לי על ההיסטוריה של ישראל?
5,0,16,1755,1757337169.6269376,1757337170.459806,0.8328683376312256,0.03338932991027832,77.55050401728707,,"שלום, איך אתה?"
2,1,91,300,1757337160.233205,1757337173.371899,13.138693809509277,0.03195691108703613,80.64554955148594,,תוכל לספר לי על ההיסטוריה של ישראל?
6,0,16,4202,1757337174.627725,1757337175.3279214,0.7001965045928955,0.03320908546447754,79.46176866312928,,"שלום, איך אתה?"
7,0,16,4396,1757337179.6288254,1757337180.5215456,0.8927202224731445,0.032402753829956055,75.55350480388579,,"שלום, איך אתה?"
3,1,100,1739,1757337165.431426,1757337182.0252833,16.593857288360596,0.03144335746765137,77.82681953116148,,תוכל לספר לי על ההיסטוריה של ישראל?
0,2,1428,1807,1757337169.7129614,1757337185.178643,15.465681552886963,0.03433060646057129,76.46770552342765,,אני רוצה לדעת על הטכנולוגיה החדשה בתחום הבינה המלא...
8,0,16,5791,1757337184.6283307,1757337185.402184,0.7738533020019531,0.030020713806152344,76.63014622451007,,"שלום, איך אתה?"
4,1,91,3059,1757337170.3056946,1757337187.9561644,17.65046977996826,0.022057771682739258,76.18383319885973,,תוכל לספר לי על ההיסטוריה של ישראל?
5,1,100,4328,1757337175.4635978,1757337190.1633813,14.699783563613892,0.03488492965698242,74.73628201303669,,תוכל לספר לי על ההיסטוריה של ישראל?
9,0,16,8468,1757337189.6302073,1757337190.289643,0.6594357490539551,0.038344621658325195,74.06320581794172,,"שלום, איך אתה?"
1,2,1385,4254,1757337175.1337574,1757337192.7799342,17.64617681503296,0.035114288330078125,74.61219321705545,,אני רוצה לדעת על הטכנולוגיה החדשה בתחום הבינה המלא...
2,2,1204,4380,1757337178.3777542,1757337193.7545261,15.376771926879883,0.13771367073059082,74.80777229393327,,אני רוצה לדעת על הטכנולוגיה החדשה בתחום הבינה המלא...
10,0,16,12241,1757337194.6309063,1757337195.4222045,0.7912981510162354,0.03454732894897461,72.67914139789536,,"שלום, איך אתה?"
6,1,90,4414,1757337180.3318512,1757337197.568616,17.236764669418335,0.028207063674926758,74.55592905542501,,תוכל לספר לי על ההיסטוריה של ישראל?
