user_id,request_id,context_length,total_context_at_start,start_time,end_time,duration,ttft,tokens_per_second,error,prompt_preview
0,0,16,16,1757337257.206441,1757337257.9218214,0.7153804302215576,0.04298591613769531,84.771661288258,,"שלום, איך אתה?"
1,0,16,92,1757337262.2000766,1757337262.918532,0.7184553146362305,0.027115821838378906,89.68097533251853,,"שלום, איך אתה?"
2,0,16,191,1757337267.1994843,1757337267.769094,0.5696096420288086,0.03429555892944336,84.06279868345455,,"שלום, איך אתה?"
3,0,16,274,1757337272.1994758,1757337273.133523,0.9340472221374512,0.04013848304748535,78.30777006527842,,"שלום, איך אתה?"
0,1,94,175,1757337262.924003,1757337277.1397107,14.215707778930664,0.0282442569732666,81.05747713255359,,תוכל לספר לי על ההיסטוריה של ישראל?
4,0,16,1535,1757337277.2021296,1757337278.023448,0.8213183879852295,0.039066314697265625,79.25833898963214,,"שלום, איך אתה?"
5,0,16,1686,1757337282.2025104,1757337282.9277534,0.725243091583252,0.0617828369140625,76.86971395962416,,"שלום, איך אתה?"
1,1,99,258,1757337267.9228024,1757337284.1345894,16.21178698539734,0.03941082954406738,77.41595841788921,,תוכל לספר לי על ההיסטוריה של ישראל?
6,0,16,3030,1757337287.205733,1757337288.0471737,0.8414406776428223,0.039858341217041016,76.09948127349736,,"שלום, איך אתה?"
3,1,107,1618,1757337278.1398954,1757337291.774541,13.634645462036133,0.038182735443115234,74.94596355616528,,תוכל לספר לי על ההיסטוריה של ישראל?
2,1,83,292,1757337272.7722504,1757337292.5277703,19.75551986694336,0.03679013252258301,75.51196350142268,,תוכל לספר לי על ההיסטוריה של ישראל?
7,0,16,4203,1757337292.2074528,1757337293.065523,0.8580701351165771,0.036429405212402344,75.45877138689418,,"שלום, איך אתה?"
4,1,99,1758,1757337283.0297706,1757337295.8673983,12.837627649307251,0.04594159126281738,74.57969150204782,,תוכל לספר לי על ההיסטוריה של ישראל?
8,0,16,6805,1757337297.2109709,1757337298.1333196,0.9223487377166748,0.15206265449523926,73.99848087819355,,"שלום, איך אתה?"
0,2,1300,1670,1757337282.1494722,1757337298.790443,16.640970706939697,0.09888744354248047,72.1190905041422,,אני רוצה לדעת על הטכנולוגיה החדשה בתחום הבינה המלא...
9,0,16,8200,1757337302.2122703,1757337303.026084,0.8138136863708496,0.029740571975708008,73.97269327968604,,"שלום, איך אתה?"
5,1,88,3048,1757337287.9362223,1757337304.648661,16.712438583374023,0.0435941219329834,71.15070290226159,,תוכל לספר לי על ההיסטוריה של ישראל?
1,2,1407,3164,1757337289.1474972,1757337305.885201,16.737703800201416,0.1135261058807373,71.22156787366933,,אני רוצה לדעת על הטכנולוגיה החדשה בתחום הבינה המלא...
10,0,16,10748,1757337307.2179527,1757337308.018912,0.8009593486785889,0.04269886016845703,73.85324812325591,,"שלום, איך אתה?"
